id|authority_id|name|url|machine_name|sort_name
210|210|Wiley|http://www.wiley.com/|wiley|wiley
211|2072|Project HOPE — The People-to-People Health Foundation, Inc.||project hope the people to people health foundation inc|project hope the people to people health foundation inc
212|2072|Project HOPE — The People-to-People Health Foundation, Inc.||project hope the people to people health foundation inc|project hope the people to people health foundation inc
213|213|Max Planck Institute for Demographic Research||max planck institute for demographic research|max planck institute for demographic research
214|214|Society for Japanese Studies||society for japanese studies|society for japanese studies
215|215|Academic Star Publishing Company|http://www.academicstar.us/|academic star publishing company|academic star publishing company
216|1796|Mary Ann Liebert, Inc. Publishers||mary ann liebert inc publishers|mary ann liebert inc publishers
217|217|Polska Akademia Nauk, Instytut Matematyczny||polska akademia nauk instytut matematyczny|polska akademia nauk instytut matematyczny
218|218|University of North Carolina at Chapel Hill, Department of Romance Languages and Literature||university of north carolina at chapel hill department of romance languages and literature|university of north carolina at chapel hill department of romance languages and literature
219|460|Massachusetts Institute of Technology Press (MIT Press)||massachusetts institute of technology press mit press|massachusetts institute of technology press mit press
220|571|University of Southern California * Annenberg Center for Communication||university of southern california annenberg center for communication|university of southern california annenberg center for communication
221|221|University of Waterloo, Department of Computer Science||university of waterloo department of computer science|university of waterloo department of computer science
222|222|Center for Religious Humanism||center for religious humanism|center for religious humanism
223|223|Maney Publishing||maney publishing|maney publishing
224|224|University of North Carolina at Wilmington, Department of Creative Writing||university of north carolina at wilmington department of creative writing|university of north carolina at wilmington department of creative writing
225|225|University of Victoria|http://journals.uvic.ca/index.php/|university of victoria|university of victoria
226|226|Jacar Press||jacar press|jacar press
227|227|Sage Publications, Inc|http://www.sagepub.com|sage publications inc|sage publications inc
228|2079|Public Library of Science||public library of science|public library of science
229|418|Elsevier Ireland Ltd.||elsevier ireland ltd|elsevier ireland ltd
230|230|Journal Of Young Investigators, Inc||journal of young investigators inc|journal of young investigators inc
231|231|Mid-Atlantic Regional Archives Conference||mid atlantic regional archives conference|mid atlantic regional archives conference
232|360|Routledge||routledge|routledge
233|43|Walter de Gruyter GmbH||walter de gruyter gmbh|walter de gruyter gmbh
234|234|C E S - I F O GmbH||c e s i f o gmbh|c e s i f o gmbh
235|235|Packt Publishing||packt publishing|packt publishing
